benchmark,variant,status,mode,rtl_packet_count,replay_event_count,property_id,failure_signature,negative_check,raw_log,capsule_json,notes
sensor_threshold_bug,failing,PASS,commit-index,16,31,P3_SENSOR_DEADLINE,0x5e05002b,PASS,results\raw\tb_picorv32_sensor_threshold_smoke_vvp_run.txt,results\raw\rtl_capsules\sensor_threshold_bug_failing.json,"RTL smoke capsule export parsed, self-compared, and missing-event negative check failed as expected; not full replay"
interrupt_race_bug,failing,PASS,commit-index,3,5,P2_INTERRUPT_CRITICAL,0x1a1e0006,PASS,results\raw\tb_picorv32_interrupt_race_smoke_vvp_run.txt,results\raw\rtl_capsules\interrupt_race_bug_failing.json,"RTL smoke capsule export parsed, self-compared, and missing-event negative check failed as expected; not full replay"
mmio_ordering_bug,failing,PASS,commit-index,2,3,P5_MMIO_ORDERING,0x0d0e001f,PASS,results\raw\tb_picorv32_mmio_ordering_smoke_vvp_run.txt,results\raw\rtl_capsules\mmio_ordering_bug_failing.json,"RTL smoke capsule export parsed, self-compared, and missing-event negative check failed as expected; not full replay"
stack_corruption_bug,failing,PASS,commit-index,2,3,P4_STACK_PROTECT,0x8901aefb,PASS,results\raw\tb_picorv32_stack_corruption_smoke_vvp_run.txt,results\raw\rtl_capsules\stack_corruption_bug_failing.json,"RTL smoke capsule export parsed, self-compared, and missing-event negative check failed as expected; not full replay"
uart_command_bug,failing,PASS,commit-index,4,7,P1_ACTUATOR_LIMIT,0xac7000fc,PASS,results\raw\tb_picorv32_uart_command_smoke_vvp_run.txt,results\raw\rtl_capsules\uart_command_bug_failing.json,"RTL smoke capsule export parsed, self-compared, and missing-event negative check failed as expected; not full replay"
watchdog_timeout_bug,failing,PASS,commit-index,12,23,P6_WATCHDOG_TIMEOUT,0xfeed0019,PASS,results\raw\tb_picorv32_watchdog_timeout_smoke_vvp_run.txt,results\raw\rtl_capsules\watchdog_timeout_bug_failing.json,"RTL smoke capsule export parsed, self-compared, and missing-event negative check failed as expected; not full replay"
sensor_threshold_bug,fixed,PASS,commit-index,4,8,NONE,NA,PASS,results\raw\tb_picorv32_sensor_threshold_fixed_smoke_vvp_run.txt,results\raw\rtl_capsules\sensor_threshold_bug_fixed.json,"RTL smoke capsule export parsed, self-compared, and missing-event negative check failed as expected; not full replay"
interrupt_race_bug,fixed,PASS,commit-index,58,114,NONE,NA,PASS,results\raw\tb_picorv32_interrupt_race_fixed_smoke_vvp_run.txt,results\raw\rtl_capsules\interrupt_race_bug_fixed.json,"RTL smoke capsule export parsed, self-compared, and missing-event negative check failed as expected; not full replay"
mmio_ordering_bug,fixed,PASS,commit-index,2,4,NONE,NA,PASS,results\raw\tb_picorv32_mmio_ordering_fixed_smoke_vvp_run.txt,results\raw\rtl_capsules\mmio_ordering_bug_fixed.json,"RTL smoke capsule export parsed, self-compared, and missing-event negative check failed as expected; not full replay"
stack_corruption_bug,fixed,PASS,commit-index,1,2,NONE,NA,PASS,results\raw\tb_picorv32_stack_corruption_fixed_smoke_vvp_run.txt,results\raw\rtl_capsules\stack_corruption_bug_fixed.json,"RTL smoke capsule export parsed, self-compared, and missing-event negative check failed as expected; not full replay"
uart_command_bug,fixed,PASS,commit-index,3,6,NONE,NA,PASS,results\raw\tb_picorv32_uart_command_fixed_smoke_vvp_run.txt,results\raw\rtl_capsules\uart_command_bug_fixed.json,"RTL smoke capsule export parsed, self-compared, and missing-event negative check failed as expected; not full replay"
watchdog_timeout_bug,fixed,PASS,commit-index,8,16,NONE,NA,PASS,results\raw\tb_picorv32_watchdog_timeout_fixed_smoke_vvp_run.txt,results\raw\rtl_capsules\watchdog_timeout_bug_fixed.json,"RTL smoke capsule export parsed, self-compared, and missing-event negative check failed as expected; not full replay"
